"date","city","region","country","max_temp_c","min_temp_c","avg_temp_c","uv","sunrise","sunset","total_precip_mm","avg_vis_km","avg_humidity","max_wind_kph","daily_will_it_rain","daily_chance_of_rain","condition_text","condition_icon","condition_code"
2023-08-24,Trondheim,Sor-Trondelag,Norway,16.5,11.0,13.4,4.0,"05:40 AM","09:00 PM",3.0,7.7,84,7.0,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-25,Trondheim,Sor-Trondelag,Norway,19.2,9.0,13.8,4.0,"05:42 AM","08:57 PM",1.8,8.7,80,13.3,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-26,Trondheim,Sor-Trondelag,Norway,19.7,11.5,15.2,4.0,"05:45 AM","08:53 PM",0.1,10.0,71,16.9,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-27,Trondheim,Sor-Trondelag,Norway,15.4,10.4,12.8,4.0,"05:48 AM","08:50 PM",14.4,6.8,90,10.4,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-28,Trondheim,Sor-Trondelag,Norway,12.2,9.4,10.9,3.0,"05:51 AM","08:47 PM",38.5,7.3,95,6.1,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-29,Trondheim,Sor-Trondelag,Norway,15.9,9.3,11.9,4.0,"05:54 AM","08:43 PM",5.2,7.9,86,11.9,1,100,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,"1153"
2023-08-30,Trondheim,Sor-Trondelag,Norway,19.2,9.7,14.0,5.0,"05:57 AM","08:40 PM",0.0,10.0,74,6.1,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-08-31,Trondheim,Sor-Trondelag,Norway,17.1,7.4,12.2,5.0,"05:59 AM","08:36 PM",0.0,8.0,82,6.8,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-09-01,Trondheim,Sor-Trondelag,Norway,15.9,7.6,11.8,4.0,"06:02 AM","08:33 PM",0.6,7.7,84,10.1,1,100,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,"1030"
2023-09-02,Trondheim,Sor-Trondelag,Norway,14.9,7.2,10.9,3.0,"06:05 AM","08:29 PM",0.1,8.7,81,8.3,1,100,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-09-03,Trondheim,Sor-Trondelag,Norway,12.9,7.2,10.3,3.0,"06:08 AM","08:26 PM",0.6,8.7,88,7.2,1,100,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,"1153"
